43 1001
Wienhold, Frank G.
Institute for Atmosheric and Climate Science (IAC), ETH Zurich, Switzerland
meteorological station on the roof of the ETH CHN building
permanent monitoring
1 1
2010 12 03  2010 12 03
0.0
time in minutes since 2010-12-03 0h00 GMT
17
     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0     1.0
 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0 99999.0
air pressure (hPa)
air temperature (deg C)
dew point(deg C)
relative humidity (percent)
illuminance (log base 10 of value in Lux)
rain accumulated during 10 min measurement interval (mm)
mean vector wind speed (m/s)
mean scalar wind speed (m/s)
mean wind direction (deg)
peak wind speed  (m/s)
direction of wind peek (deg)
mean north component (m/s)
mean east component (m/s)
barometer status code
thygan status code
interface sensor status code
wind sensor status code
5
station data 
location: roof of building CHN, Universitaestrasse 16, CH 8092 Zurich, Switzerland
latitude 47.37929 deg north
longitude 8.54872 deg east
elevation 510 m above sea level
7
This data can be used freely for scientific analysis.
The user agrees to cite IAC ETH Zurich as source of the data
and to consult IAC ETH Zurich before data is used for publication.

      time     p_air     T_air     T_dew        RH     illum      rain  wspd_vec  wspd_scl      wdir   wspd_pk   wdir_pk wcp_north  wcp_east      baro    thygan       ifs      wind
     (min)     (hPa)   (deg C)   (deg C) (percent)(log10lux)      (mm)     (m/s)     (m/s)     (deg)     (m/s)     (deg)     (m/s)     (m/s)  (status)  (status)  (status)  (status)

      1190    954.10     -3.77     -5.84     85.46     -0.91      0.00      2.34      2.36    284.00      3.04    287.00      0.57     -2.27         0         0         2       128
      1200    954.26     -3.80     -5.76     86.25     -0.60      0.00      2.11      2.13    278.00      3.50    268.00      0.28     -2.09         0         0         2       128
      1210    954.44     -3.74     -5.85     85.23     -0.42      0.00      1.43      1.48    298.00      2.47    291.00      0.68     -1.26         0         0         2       128
      1220    954.63     -3.66     -5.66     85.99     -0.44      0.00      1.95      1.96    294.00      2.88    290.00      0.78     -1.79         0         0         2       128
      1230    954.79     -3.75     -5.94     84.74     -0.27      0.00      2.55      2.59    294.00      3.49    294.00      1.03     -2.34         0         0         2       128
      1240    954.90     -3.74     -6.12     83.54     -0.29      0.00      2.53      2.57    287.00      4.44    278.00      0.73     -2.42         0         0         2       128
      1250    954.93     -3.97     -6.18     84.55     -0.46      0.00      1.81      1.90    281.00      4.20    271.00      0.35     -1.77         0         0         2       128
      1260    954.97     -3.79     -5.73     86.37     -0.49      0.00      1.18      1.25    303.00      2.33    295.00      0.64     -0.99         0         0         2       128
      1270    955.01     -3.63     -5.97     83.79     -0.84      0.00      0.56      0.70    313.00      1.49    340.00      0.38     -0.41         0         0         2       128
      1280    955.07     -3.78     -6.03     84.38     -0.30      0.00      0.97      1.00    327.00      1.70    320.00      0.81     -0.53         0         0         2       128
      1290    955.26     -3.69     -5.88     84.73     -0.34      0.00      0.99      1.05    300.00      1.80    273.00      0.49     -0.86         0         0         2       128
